Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
71081fd6c674915a3783bc5b5adfae99b7196099efa906b0185a45d4451572e1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.178440,52.031626,On or near CHESAPEAKE ROAD,E01029982,Ipswich 016E,Investigation complete; no suspect identified
a21cf433e0c34086caa74a35f80d5dca4abb26a4fa51af232fc807e29826f232,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.710856,52.246489,On or near Shopping Area,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
075e31d1ebe65bfadd13c59d67d179c6e580757689fe82a7f81d21a9d2c4ee22,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.997674,52.187468,On or near FOX COURT,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
6ec66c20493c668a3924f079757550f55d0d7f374dc5004d3d1222588385f322,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.329105,51.953159,On or near SUB-STATION ROAD,E01030170,Suffolk Coastal 014E,Investigation complete; no suspect identified
6479f3a2f0da67028564298ebd175a621e1c510201910d7b5f0031892b6c1eb2,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.154267,52.048034,On or near PAULINE STREET,E01033130,Ipswich 012G,Investigation complete; no suspect identified
d16f8954fbd79e802038a912835286c26124286770ee9fe08d5832f1677e4d8f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.161764,52.057924,On or near WOODBRIDGE ROAD,E01030010,Ipswich 005D,Investigation complete; no suspect identified
647955329e9ba4ae1bc076f5831490741551e09b549bea9ce24401af1d3f12a7,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.182059,52.059986,On or near Supermarket,E01030002,Ipswich 008A,Investigation complete; no suspect identified
6ac0b46956d60bb92f908c4ee1bcfe43fff2707fd865c0827356786ddba1d80b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.139549,52.058635,On or near GIBBONS STREET,E01029988,Ipswich 010E,Investigation complete; no suspect identified
d0c57ad48b87bd493e900e91b9390d686b11a4009c8a214eb4a23ba50e7aecaf,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.188546,52.032666,On or near BRAZIER'S WOOD ROAD,E01033128,Ipswich 014F,Investigation complete; no suspect identified
f6978d74930ca12814d10f40eb806e85548269b24040c779878f6d19a55d3ad3,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.753313,52.476642,On or near Supermarket,E01030247,Waveney 007A,Investigation complete; no suspect identified
aa0a4d99ecd3b0813f760817e61ea0d9af1abdf8af7f4059ef1b90c2ab61ae29,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.711488,52.455261,On or near ROSEDALE CLOSE,E01030233,Waveney 006A,Investigation complete; no suspect identified
45ea352c9f6532f353a5c1a7a363d29ad3cb2a009dbd940b3883c78a2dcbd2d9,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.128721,52.031906,On or near ALDERLEE,E01030021,Ipswich 015E,Investigation complete; no suspect identified
88af156497c89bbc635bc505ca14c7cb23a4c219a43a94d96e1a4155145737f3,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.155995,52.058268,On or near Nightclub,E01033129,Ipswich 007H,Investigation complete; no suspect identified
4dab189bcba49c68e00962f1828c8d388600fefa012f285fe4498dbc18ddca55,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.568730,52.451276,On or near ST ANNE'S ROAD,E01030223,Waveney 010A,Investigation complete; no suspect identified
b5eaed21e19fd7417d574142ff8a0dfd5227987d30cb8cbe4c4af30458d5e71c,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.356982,51.968935,On or near LYNWOOD AVENUE,E01030166,Suffolk Coastal 013F,Investigation complete; no suspect identified
ac3b8dc5bd5ecdaf9cde7e2f31545a20d2a9e2880865c2b0f729e38d54043b4e,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.151394,52.062330,On or near HENLEY ROAD,E01030025,Ipswich 006D,Investigation complete; no suspect identified
